,title,author,cover_image,publisher,cover_price,page_count,book_type,book_format,publication_date
578,The Damnation Affair,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/51iWttCd47L.jpg,Orbit (US),$18.99,288,NOVEL,tp,2013-02-00
579,The Queen Is Dead,Kate Locke,http://ecx.images-amazon.com/images/I/51hRkkE4m0L.jpg,Orbit (US),$16.99,337,NOVEL,hc,2013-02-05
580,The Queen Is Dead,Kate Locke,http://ecx.images-amazon.com/images/I/51xipmWgebL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2013-02-05
581,American Elsewhere,Robert Jackson Bennett,http://ecx.images-amazon.com/images/I/4134JXrRu4L.jpg,Orbit (US),$13.99,662,NOVEL,tp,2013-02-12
582,American Elsewhere,Robert Jackson Bennett,http://ecx.images-amazon.com/images/I/41IqKhWTytL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2013-02-12
583,Emperor Mollusk versus The Sinister Brain,A. Lee Martinez,http://ecx.images-amazon.com/images/I/5127ngFedXL.jpg,Orbit (US),$13.99,320,NOVEL,tp,2013-02-19
584,Fade to Black,Francis Knight,http://ecx.images-amazon.com/images/I/51ECEu%2BFbYL.jpg,Orbit (US),$14.99,347,NOVEL,tp,2013-02-26
585,Fade to Black,Francis Knight,http://ecx.images-amazon.com/images/I/51xSXKoDb6L.jpg,Orbit (US),$9.99,,NOVEL,ebook,2013-02-26
586,Doughnut,Tom Holt,http://ecx.images-amazon.com/images/I/51EMTdvxm7L.jpg,Orbit (US),$9.99,,NOVEL,ebook,2013-03-01
587,Doughnut,Tom Holt,http://ecx.images-amazon.com/images/I/512zFkealXL.jpg,Orbit (US),$13.99,370,NOVEL,tp,2013-03-05
588,Strange Fates,Marlene Perez,http://ecx.images-amazon.com/images/I/51w5QoIpbUL.jpg,Orbit (US),$4.99,,NOVEL,ebook,2013-03-05
589,Rebellion,Ian Irvine,http://ecx.images-amazon.com/images/I/51ILa-0Z58L.jpg,Orbit (US),$15.99,xvii+618,NOVEL,tp,2013-03-12
590,Rebellion,Ian Irvine,http://ecx.images-amazon.com/images/I/51cFJkwb4SL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2013-03-12
591,The Petrovitch Trilogy,Simon Morden,http://ecx.images-amazon.com/images/I/51DkDCxuBkL.jpg,Orbit (US),$9.99,,OMNIBUS,ebook,2013-03-12
592,The Curve of the Earth,Simon Morden,http://ecx.images-amazon.com/images/I/51oMAxLR1FL.jpg,Orbit (US),$15.99,373,NOVEL,tp,2013-03-19
593,Strange Fates,Marlene Perez,http://ecx.images-amazon.com/images/I/51SVUNYWPAL.jpg,Orbit (US),$16.99,336,NOVEL,tp,2013-03-19
594,The Curve of the Earth,Simon Morden,http://ecx.images-amazon.com/images/I/510WnRcMVxL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2013-03-19
595,Wolfhound Century,Peter Higgins,http://ecx.images-amazon.com/images/I/61nciSBBE5L.jpg,Orbit (US),$25.99,303,NOVEL,hc,2013-03-26
596,Wolfhound Century,Peter Higgins,http://ecx.images-amazon.com/images/I/51KhUfnFDfL.jpg,Orbit (US),$12.99,,NOVEL,ebook,2013-03-26
597,The Exiled Blade,Jon Courtenay Grimwood,http://ecx.images-amazon.com/images/I/51VpRXIDTOL.jpg,Orbit (US),$15.99,338,NOVEL,tp,2013-04-02
