,title,author,isbn,cover_price,page_count,book_type,book_format,publication_date,publisher,cover_image,approximate_word_count,publication_year
1005,The Blood Mirror,Brent Weeks,9780316251327,16.99,xix+682,NOVEL,tp,2017-07-18,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51PLoVhPT6L.jpg,238700.0,2017
1006,The Plague of Swords,Miles Cameron,9780316302425,16.99,464,NOVEL,tp,2016-10-25,Orbit (US),http://ecx.images-amazon.com/images/I/61no4KG8S8L.jpg,162400.0,2016
1007,The Plague of Swords,Miles Cameron,9780316302418,11.99,,NOVEL,ebook,2016-10-25,Orbit (US),http://ecx.images-amazon.com/images/I/61khw2ZDhUL.jpg,162400.0,2016
1008,The First Law Trilogy,Joe Abercrombie,9780316361194,39.99,1680,OMNIBUS,tp,2016-11-15,Orbit (US),http://ecx.images-amazon.com/images/I/61RReh9D8bL.jpg,588000.0,2016
1009,Echoes: Stories from Outer Earth,Rob Boffard,9780316556569,2.99,,COLLECTION,ebook,2016-11-15,Orbit (US),http://ecx.images-amazon.com/images/I/51w-OZDWk3L.jpg,,2016
1010,Fireborn,David Dalglish,9780316302739,16.99,487,NOVEL,tp,2016-11-22,Orbit (US),http://ecx.images-amazon.com/images/I/51G73QQT6wL.jpg,170450.0,2016
1011,Fireborn,David Dalglish,9780316302722,11.99,,NOVEL,ebook,2016-11-22,Orbit (US),http://ecx.images-amazon.com/images/I/51Z8TmVsO0L.jpg,170450.0,2016
1012,Wrath,John Gwynne,9780316386340,16.99,685,NOVEL,tp,2016-12-06,Orbit (US),http://ecx.images-amazon.com/images/I/519CugmQ26L.jpg,239750.0,2016
1013,The Liberation,Ian Tregillis,9780316248051,16.99,433,NOVEL,tp,2016-12-06,Orbit (US),http://ecx.images-amazon.com/images/I/61ANTTbd%2BnL.jpg,151550.0,2016
1014,The Liberation,Ian Tregillis,9780316248044,11.99,,NOVEL,ebook,2016-12-06,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/619DvY%2B--GL.jpg,151550.0,2016
1015,Babylon's Ashes,James S. A. Corey,9780316334747,27.0,538,NOVEL,hc,2016-12-06,Orbit (US),http://www.isfdb.org/wiki/images/d/d4/BBLNSSHSTH2016.jpg,188300.0,2016
1016,Babylon's Ashes,James S. A. Corey,9780316217637,13.99,,NOVEL,ebook,2016-12-06,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51GChmkZPvL.jpg,188300.0,2016
1017,Babylon's Ashes,James S. A. Corey,9780316217644,16.99,536,NOVEL,tp,2017-10-24,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/512YgasYuxL.jpg,188300.0,2017
